Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8;nk9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,5;;;;;;;;;;;;-1,96772;-2,3546;-2,63876;;-1,064;-0,622;-0,164;;;;;0,06066;-0,94334;-3,70302;;-0,26564;3,546;0,75426;;-0,37766;1,08492;-0,17202;;0,3899;0,49132;2,61338;-0,29724;0,18084;0,03694;-0,16926;-0,473236;-1,91264;;-1,9468872;;3,0916;-0,69572;-0,6748;;0,85288;0,20224;1,20976;;;;-0,526;-1,67266;-0,9352;9,16746;0,51148;1,54532;-1,47152;-0,13348;-0,11798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,526;-1,67266
1;;;;;;;;;;;;-1,09292;-1,4286;-1,94906;;-1,034;-0,522;-1,164;;;;;0,54176;-0,27194;-2,80882;;0,42226;4,1586;1,03666;;0,30874;1,04632;-0,50692;;0,3218;0,53622;2,49458;-0,26374;-0,64206;-0,18076;-0,31906;-0,207956;-0,97874;;-0,8285072;;3,2963;-0,17812;-1,0609;;0,49288;0,55524;1,35026;;;;-0,686;-0,95156;-0,6482;9,14426;0,14528;2,09212;-0,78962;-0,11078;0,08792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,686;-0,95156
1,5;;;;;;;;;;;;-0,86532;-1,5687;-1,77756;;0,506;-0,042;0,006;;;;;0,16706;-0,39644;-2,98702;;0,14586;3,8731;0,67286;;0,02084;0,52722;-0,06072;;0,6199;0,51062;2,43678;-0,09134;0,00694;0,00554;0,16024;0,191164;-0,04484;;0,3890508;;3,0738;-0,79822;-1,1245;;0,81728;0,83054;1,34786;;;;0,514;-0,91746;-0,9437;8,81326;0,19288;1,67882;0,37668;-0,62568;0,30132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,514;-0,91746
2;;;;;;;;;;;;2,32968;3,0163;3,28594;;0,206;0,288;0,396;;;;;-0,29294;0,77286;4,73948;;0,21816;-5,5117;-0,84644;;-0,20276;-1,39448;-0,02372;;-0,708;-1,14228;-3,56362;0,30476;-0,15976;0,02604;0,16114;0,098364;1,12086;;0,9590958;;-4,6475;0,98118;1,5909;;-0,77102;-0,53266;-1,84484;;;;0,354;2,49464;1,7432;-13,44194;0,09188;-2,24818;0,76138;1,00032;0,19912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,354;2,49464
2,5;;;;;;;;;;;;1,59628;2,3356;3,07944;;1,386;0,898;0,926;;;;;-0,47654;0,83886;4,75938;;-0,52064;-6,066;-1,61734;;0,25084;-1,26398;0,76338;;-0,6236;-0,39588;-3,98112;0,34756;0,61404;0,11224;0,16694;0,391664;1,81536;;1,4272478;;-4,8142;0,69088;1,2693;;-1,39202;-1,05536;-2,06304;;;;0,344;1,04704;0,7839;-13,68304;-0,94152;-3,06808;1,12308;-0,13038;-0,47038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,344;1,04704
3;;;;;;;;;;;;2,72098;3,9403;4,53304;;5,306;2,698;3,806;;;;;5,07856;4,84756;9,66608;;1,43516;-5,0324;-0,66264;;6,04834;2,86412;3,04478;;1,76;3,26832;-1,95272;0,54566;0,41484;0,36674;0,18044;0,656564;2,58406;;1,7962228;;1,191;7,26858;6,9167;;0,78108;2,71844;-1,10984;;;;0,844;1,23364;0,5624;-13,56764;-1,34482;-2,93848;1,27418;0,00882;-0,52648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,844;1,23364
3,5;;;;;;;;;;;;7,15658;8,5142;8,04974;;25,906;11,968;18,586;;;;;23,89816;21,29826;30,91048;;12,68616;1,0795;7,53986;;34,52614;26,62142;18,62858;;19,0295;26,17522;13,60668;1,00266;1,51414;1,11974;1,29404;1,231764;3,60236;;2,5899428;;30,0151;37,68218;37,9329;;16,03238;24,82354;7,31566;;;;0,954;2,60344;0,7119;-13,30834;-1,26852;-2,78268;1,72178;0,94032;0,15092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,954;2,60344
4;;;;;;;;;;;;17,56498;19,572;17,93974;;101,866;54,088;80,186;;;;;48,64776;44,32306;60,85078;;30,76236;14,791;23,05856;;76,43354;69,70322;62,19918;;57,184;62,22782;47,68388;1,44576;1,13734;2,91334;3,31764;1,652564;4,09916;;2,7482028;;80,0061;87,59748;92,8938;;63,73288;78,32874;37,22616;;;;0,654;3,21204;0,9522;-12,04414;-1,27492;-2,04678;1,66178;1,30632;0,27082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,654;3,21204
4,5;;;;;;;;;;;;43,63318;45,4041;39,58754;;246,096;169,948;211,906;;;;;73,48076;67,89516;93,02878;;52,44786;34,0637;42,53586;;116,25554;112,03422;110,20018;;97,137;97,25982;82,79258;3,02986;1,54824;9,19044;9,91304;3,080864;5,14126;;3,2998628;;126,6761;135,58948;145,6038;;122,96788;137,25474;83,34356;;;;1,724;4,29824;0,547;-12,51764;-0,63312;-1,62208;2,22128;1,85672;1,02512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,724;4,29824
5;;;;;;;;;;;;95,31018;95,2951;83,08654;;377,526;319,338;347,236;;;;;99,60976;92,81016;125,55578;;77,37586;55,8264;66,13856;;152,95954;151,15822;154,41918;;133,79;130,08682;114,19258;6,26206;1,39054;25,25174;23,40934;5,616964;6,12066;;3,3517028;;169,0381;178,16748;193,6308;;178,84788;191,52674;129,66156;;;;1,984;5,91544;1,6066;-11,66944;-0,42052;-1,47048;2,26348;3,10112;1,08512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,984;5,91544
5,5;;;;;;;;;;;;173,64118;171,7211;149,27654;;477,046;438,788;451,146;;;;;125,64376;117,59416;158,78578;;103,19086;79,2274;89,57656;;186,78354;187,37822;193,86518;;168,325;160,88082;143,74158;15,10626;1,57804;54,49364;48,15994;10,947264;8,16006;;3,5129828;;207,2961;217,94748;237,7388;;230,14888;239,26774;172,86356;;;;1,994;6,66364;1,3727;-11,73174;-0,58902;-0,58538;2,16458;2,93052;1,13002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,994;6,66364
6;;;;;;;;;;;;271,14718;267,8651;232,70354;;552,206;529,538;531,226;;;;;152,01676;142,57916;191,14878;;129,40986;101,7194;113,44556;;218,83654;221,31622;230,91018;;199,998;189,59882;170,29758;30,46856;2,78754;91,17014;80,85134;19,859564;11,74666;;4,4652728;;244,2491;256,75348;278,3248;;277,39388;282,67774;212,07056;;;;2,534;7,07274;1,1409;-11,76764;0,16098;-0,46358;2,41118;4,04132;2,06902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,534;7,07274
6,5;;;;;;;;;;;;377,17018;369,2491;322,97354;;612,426;599,558;594,946;;;;;178,54176;168,11816;223,69578;;156,78686;125,4264;137,79056;;249,73154;253,01122;265,31418;;229,278;216,16582;194,67358;52,28266;4,38304;128,08914;117,54634;33,132464;16,97296;;4,5617328;;278,5691;291,35548;317,3668;;319,32488;321,75774;247,80856;;;;3,614;7,75674;1,6024;-11,69354;0,72078;0,19872;2,51758;4,77782;1,60392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,614;7,75674
7;;;;;;;;;;;;478,76718;467,7051;410,31554;;659,576;654,118;647,396;;;;;205,59176;193,21316;255,18278;;184,21986;147,3274;161,51156;;278,87454;282,92922;297,07318;;255,764;240,59882;216,74158;79,27996;7,31014;162,63914;154,12334;50,398964;24,96466;;4,1439228;;310,4271;324,85148;353,8138;;358,29488;356,60174;280,12456;;;;4,514;8,46484;1,7157;-11,72274;1,69928;0,34702;3,05358;5,00302;2,22152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,514;8,46484
7,5;;;;;;;;;;;;572,87518;558,9031;492,11754;;698,916;697,658;690,686;;;;;231,64876;218,67516;286,52478;;211,43286;169,5654;183,96256;;306,27254;310,64622;325,67118;;280,164;263,11282;236,04558;109,43426;13,11124;194,75714;188,09434;71,687064;34,96196;;4,8453928;;340,8611;356,52948;388,2078;;394,02888;388,48774;309,49456;;;;5,984;9,51144;1,8454;-11,15574;2,01788;0,40372;3,72948;4,16402;2,17542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,984;9,51144
8;;;;;;;;;;;;657,27518;639,6881;564,34354;;731,846;733,018;726,276;;;;;258,01176;243,24616;316,34578;;237,72386;190,3704;205,81356;;331,40454;336,85122;352,57218;;302,235;284,10182;253,58058;138,12526;22,46194;222,47314;218,28934;94,795264;47,91256;;4,7564728;;368,4731;385,44148;420,1898;;426,04788;417,71574;336,73256;;;;7,474;9,42614;2,0322;-11,23984;2,59458;0,64362;3,04058;4,74762;2,53292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,474;9,42614
8,5;;;;;;;;;;;;731,51018;711,3501;629,12254;;760,356;762,748;755,316;;;;;284,25076;268,15916;345,18478;;264,00686;209,7294;226,94056;;356,68254;361,46422;378,06618;;324,556;304,12182;270,25458;165,73126;35,91994;247,45514;244,80934;118,797264;63,12526;;5,0413428;;394,4261;412,34448;449,6268;;454,72588;443,02974;360,82556;;;;8,414;10,65584;2,6318;-10,53864;3,76838;1,49372;3,54288;5,12112;3,18262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,414;10,65584
