Referenz;n=6;3,39 $\pm$ 0,07;p = 0,46;;
1,5X Rev.;n=5;3,43 $\pm$ 0,07;p = 0,39;p = 0,11;p = 0,62
2X Rev.;n=6;3,45 $\pm$ 0,17;p = 0,64;;
