ohne Mischen;n=5;6,00 $\pm$ 0,15;p = 0,13;;
Mischen (3 min);n=6;5,13 $\pm$ 0,21;p = 0,15;p = 0,21;p = 2 *10\textsuperscript{-3}
Mischen (4 min);n=5;5,11 $\pm$ 0,30;p = 0,92;;
Gruppe 1;Gruppe 2;untr. Konfid.;obrs. Konfid.;p-wert;Aussage
Mischen (3 min);Mischen (4 min);$-1,02$;$0,32$;p = 0,38;ns
Mischen (3 min);ohne Mischen;$0,16$;$1,51$;p = 0,02;s *
Mischen (4 min);ohne Mischen;$0,48$;$1,89$;p = 1,74 *10\textsuperscript{-3};s **
