konz;ct
1;36,62
1;38,24
1;35,32
1;39,01
10;34,16
10;36,89
10;32,75
10;34,22
10;34,63
10;35,62
10;35,37
100;32,09
100;33,86
100;33,85
100;33,61
100;34,21
100;33,61
100;33,75
1000;30,19
1000;30,46
1000;30,15
1000;30,56
1000;30,45
1000;30,59
1000;30,45
10000;26,91
10000;26,86
10000;26,94
10000;27,01
10000;27
10000;26,99
10000;26,97
100000;23,26
100000;23,29
100000;23,3
100000;22,95
100000;23,43
100000;23,45
100000;23,46
1000000;19,79
1000000;19,83
1000000;19,82
1000000;19,77
1000000;19,77
1000000;19,92
1000000;19,84
10000000;16,33
10000000;16,43
10000000;16,32
10000000;16,46
10000000;16,51
10000000;16,44
10000000;16,47
