Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8
0,5;-0,03666;-0,47622;-0,8162;-0,01644;-1,96814;-1,11494;-2,2723;-0,16578;0,11746;-0,70352;-0,28994;-0,05276;-1,26106;-0,67264;-0,57094;-0,99898;-1,28282;-0,85698;-0,96942;-1,38412;-1,38794;-0,40804;0,1226;-0,01124;-0,57406;-0,63526;-0,63556;-1,27864;-0,15114;0,18832;-0,06204;-0,14164;0,0474;-0,4281;-0,37596;-0,5098;-0,5099;-0,528684;0,053358;-1,794168;-0,6117;-1,5295628;-0,549474;0,029844;-0,421912;-0,610618;-1,15704;-0,67284;-1,6902888;-0,586804;-0,672372;-0,362042;-1,04078;-1,17302;-0,21296;-1,341274;-0,73646;-1,97494;-1,36182;-2,1995;-1,18412;-0,5689;-1,40304;-0,35662
1;-0,01766;-0,47232;-0,1865;-0,29974;-0,84064;-0,33144;-0,5187;-0,75088;-0,68254;-0,39422;-0,45844;-0,30026;-0,75316;-0,86824;-0,33614;-0,85158;-1,23612;-0,94138;-0,89702;-1,27132;-1,07354;-0,31704;-0,4499;-0,58374;-0,44896;-0,53306;-0,67776;-0,79204;-0,03114;-0,04838;-0,82894;-0,09004;-0,4421;-0,8758;-0,16036;-0,1478;-0,1626;-0,598624;0,238148;-0,538908;-0,511;-0,6794698;-0,539824;-0,019296;-0,307662;-0,601278;-0,28039;-0,58634;-0,6111028;-0,479484;-0,128252;-0,285772;-0,28888;-0,31232;-0,26356;-0,630449;-0,53396;-1,05134;-0,44232;-1,1954;-0,58912;-0,69611;-0,73624;-0,17542
1,5;0,02064;0,06518;0,4553;-0,13514;0,26386;0,42606;0,3229;-0,08688;-0,43264;-0,53652;0,02506;-0,60106;-0,26116;-0,04314;-0,17994;-0,65568;-0,99922;-0,89218;-0,61792;-0,86252;-0,72174;-0,30734;-0,3625;-0,58674;-0,00726;-0,35826;-0,42186;-0,11564;-0,03364;-0,32298;-0,03494;-0,26404;-0,1406;-0,2551;0,00484;0,2339;0,0098;-0,006874;-0,269802;0,085992;0,2975;0,0126602;-0,067134;-0,242966;0,003738;0,100202;-0,38109;0,43406;0,0394272;0,563536;0,469568;-0,293612;0,15062;0,29148;-0,20726;0,066501;0,10394;0,24336;0,19248;0,3809;0,01558;-0,16857;0,37546;-0,15672
2;-0,36946;0,16678;0,1337;-0,33804;0,68976;0,09866;0,7618;0,15342;0,06776;0,75998;-0,07164;0,14834;0,97084;0,41356;0,39696;-0,04738;0,77488;0,25992;0,04978;0,70948;0,60976;0,71036;0,191;0,28476;0,61614;0,74234;0,82014;0,84776;0,07676;-0,00708;0,43416;0,09986;0,1481;0,5992;0,15044;0,2586;0,1889;0,339496;-0,185692;0,968592;0,374;0,7659862;-0,034634;-0,267086;-0,328762;0,185812;0,43251;-0,11574;0,4783372;-0,035454;-0,265112;-0,159472;0,30402;0,09548;0,01134;0,577151;-0,06006;1,07416;0,65888;1,4969;0,46688;0,65469;0,74596;0,34638
2,5;0,40314;0,71658;0,4137;0,78936;1,85516;0,92166;1,7063;0,85012;0,92996;0,87428;0,79496;0,80574;1,30454;1,17046;0,69006;2,55362;2,74328;2,43062;2,43458;2,80848;2,57346;0,32206;0,4988;0,89696;0,41414;0,78424;0,91504;1,33856;0,13916;0,19012;0,49176;0,39586;0,3872;0,9598;0,38104;0,1651;0,4738;0,794686;0,163988;1,278492;0,4512;1,4303862;1,191066;0,499504;1,054598;0,925882;1,38601;0,94086;1,7836272;0,538206;0,596168;1,100898;0,87502;1,09838;0,67244;1,328071;1,22654;1,70876;0,95278;1,5171;1,29078;0,77889;1,01786;0,34238
3;1,38744;2,12678;0,9461;1,72926;4,15616;1,99726;2,9217;4,23532;0,82346;3,74918;3,75466;3,59874;5,91734;4,01976;0,90526;12,30432;14,50898;11,51582;13,54638;13,58208;12,99216;0,53546;0,3668;0,54736;0,65594;0,86594;1,59394;0,96056;0,52736;0,89092;1,09886;0,86006;0,9521;1,6483;1,18134;0,7801;0,9467;1,149196;0,795528;2,242592;0,9504;2,2186762;0,382266;0,281254;0,718178;0,471892;0,95521;0,95836;1,4363572;0,746556;0,780368;1,348988;0,98442;1,78358;1,51614;1,732321;1,18254;2,15336;1,41938;1,5819;2,03388;0,86028;1,13186;0,83948
3,5;6,99674;4,61378;6,1144;6,79186;9,54876;8,51886;6,9268;17,15282;1,88946;12,24408;15,65946;13,83324;21,01464;15,02606;1,64106;47,55262;51,64948;39,32702;43,83368;41,92438;40,52276;0,94036;0,8265;0,96846;0,92174;1,31424;2,30384;1,45766;1,13216;0,96902;1,37736;1,30596;1,3729;2,3612;1,22324;0,4102;0,6619;0,825736;0,531158;2,282992;1,0445;2,0564962;0,846866;0,385254;1,398248;0,872822;1,62901;0,86156;1,6986172;0,244296;0,391448;0,699368;0,67422;1,48338;0,86024;1,447451;1,24344;2,90826;1,62528;2,1284;2,52548;0,52295;2,31926;1,02068
4;26,13284;18,56938;19,1223;22,99516;27,62826;28,81756;18,4033;53,86312;6,63186;43,95788;51,42246;44,52244;62,79244;45,85836;2,01006;115,00452;120,47598;87,37912;92,83858;86,02448;84,07666;1,45496;0,9663;1,09956;1,53974;2,03674;2,56884;2,04606;1,08386;1,68772;1,97306;1,61216;1,7576;3,3051;1,56934;0,8672;1,0058;0,744346;0,670428;2,298592;1,0095;3,0877562;1,430766;1,127114;1,848918;1,908302;2,11251;1,93136;2,0805572;0,915356;0,942168;1,813228;1,12152;2,78258;1,87884;1,960211;2,23974;3,82826;2,07688;2,3919;3,27248;0,8018;1,93666;1,83248
4,5;75,53524;64,09268;53,5715;61,63236;71,45606;79,33026;49,6426;114,78382;19,82096;115,60208;111,68486;100,58384;128,90544;97,71216;4,28296;190,26252;198,45798;143,91412;148,10958;135,59348;133,91766;1,15826;1,3878;2,86936;2,27684;3,02854;4,12524;2,84766;1,59666;1,82152;2,32906;1,92936;1,9933;3,8037;1,81564;1,3899;1,3326;1,138936;0,277028;3,216292;1,4882;2,9876762;1,257466;0,934504;0,978628;1,450392;2,48811;1,55696;2,8839172;0,658156;0,626868;2,040818;1,17252;2,09498;1,46704;1,861941;1,71304;3,48426;2,20978;3,2239;3,65568;1,05742;2,16396;1,53648
