Bestandteil;Konzentration
2x Luna\textsuperscript{\textcopyright} Universal Probe One-Step Reaction Mix;1,05x
20x Luna\textsuperscript{\textcopyright} WarmStart\textsuperscript{\textcopyright} RT Enzyme Mix;1,05x
40x PSM;1,05x
