Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0,5;0,289152;-1,036928;0,062518;-2,2628068;-1,8016516;-3,2038796;-2,337264;-0,33136
1;-0,724628;-0,824408;-0,767072;-0,0769868;-1,2319036;-1,2124916;-1,016914;-0,14807
1,5;0,491122;0,469422;0,502938;0,9557792;0,5050484;1,0661704;0,705576;0,32551
2;0,012422;0,491122;0,042928;0,6287032;0,8297084;1,7748804;1,339526;-0,03623
2,5;-0,068068;0,900792;0,158688;0,7553112;1,6987984;1,5753204;1,309076;0,19015
3;0,692492;1,792486;0,972298;0,9889352;2,2172884;2,4670104;1,716636;0,56064
3,5;1,100962;2,302241;0,627738;1,3618312;2,8895284;2,3018204;1,910476;0,91695
4;1,218522;2,36524;0,972898;1,5234087;3,2392084;2,4570704;2,466346;1,21238
4,5;1,677934;3,243971;1,709348;2,4940812;4,3105684;3,6049904;2,776236;1,62596
5;1,579965;3,054959;1,268928;2,4808152;4,0814584;3,0849904;2,425656;1,30944
5,5;1,711095;2,875902;1,199898;2,7855832;3,9744484;3,1042804;3,047546;0,9052
6;1,678235;3,360631;1,751548;3,5600132;4,2611184;3,3520704;3,263376;1,49061
6,5;1,564894;3,389269;1,592378;3,4638432;4,3021184;3,5269204;3,767716;1,43424
7;2,574449;4,726202;2,121728;4,6162932;5,6306184;4,5042204;4,852936;2,48148
7,5;2,603388;4,954702;2,375858;4,7308432;5,8642384;4,7502004;4,985526;2,6925
8;3,154743;5,734852;2,271258;4,9264832;6,2380384;5,3799304;5,872726;3,40844
8,5;3,159867;7,380172;2,671278;4,9310032;7,7766384;6,0865304;6,321926;4,54551
9;3,657862;8,142532;3,000478;5,6644332;8,1314484;6,8175504;7,636226;5,10621
9,5;3,593952;9,253382;3,284378;6,1473632;8,6879184;7,4665704;8,495626;5,7061
10;4,323772;11,191712;3,468878;6,2724632;9,0674484;8,1171004;9,621626;6,59144
10,5;4,427162;12,912082;3,876178;7,0459832;10,3968184;9,4573404;11,161726;7,96934
11;4,201082;14,962582;4,376878;7,0713032;10,6907184;9,9713404;11,941226;8,85024
11,5;5,271522;17,952082;5,624878;8,0446832;12,0871184;11,6479404;14,225626;10,86874
12;4,970682;20,424882;5,616478;8,7826432;12,4548184;11,9298404;15,422426;12,08814
12,5;5,661602;23,125882;6,673378;8,9656232;13,1406184;13,4274404;16,865426;13,12634
13;5,768922;26,048682;7,421878;9,6631732;14,2174184;14,7665404;18,960826;14,86594
13,5;5,650752;28,539582;7,458878;10,6037032;14,7664184;15,5505404;21,372126;16,41634
14;6,080022;31,897182;8,189878;11,4962932;15,7843184;17,1425404;23,426826;18,27174
14,5;6,115582;34,772982;8,554378;11,9930632;16,6200184;18,2365404;24,879226;19,38354
15;6,587962;39,111782;9,099078;12,7931632;17,8541184;19,3506404;27,089126;21,12284
15,5;6,477332;41,520082;9,103278;13,5967632;18,2385184;19,7669404;28,365126;22,05764
16;7,485682;43,739582;9,276678;14,6988632;19,2754184;21,0559404;30,473526;23,93184
16,5;7,169462;46,054482;9,227478;15,3635632;19,5657184;21,6700404;31,585826;24,95944
17;7,776882;48,166082;8,328278;16,8612632;20,8885184;22,6684404;32,950826;26,40854
17,5;7,559542;49,470482;7,407378;17,3507632;21,2439184;23,3650404;33,807226;27,36804
18;7,848932;51,813982;6,494578;18,0440632;21,5864184;24,1316404;34,652226;28,46564
18,5;8,198612;53,283882;6,005578;19,0626632;22,1431184;24,8045404;36,006926;29,94994
19;8,353862;54,396482;5,224578;19,2248632;21,1128184;25,5466404;35,953926;30,43924
19,5;8,657422;55,842882;4,421778;20,5500632;21,2792184;25,7031404;37,060526;31,38244
20;8,831962;56,907882;3,084278;20,5217632;20,2603184;25,7878404;36,586026;31,64744
